error | 2020-11-23 22:31:42 | +53ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +2ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +5ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +3ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +7ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +4ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +8ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +3ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +7ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +2ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +4ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +3ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log'
error | 2020-11-23 22:31:42 | +22ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log.1'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log.1'
error | 2020-11-23 22:31:42 | +4ms | uncaughtException: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log.1'
Error: EPERM: operation not permitted, open 'D:\Practise_node_Project\log\combine-2020-11-23-22-scheduler.log.1'
